keep,public_any,pct_data_public,var_name,var_label,var_def,domain,subdomain,dataset_instance,n_data_pts_public,n_data_pts_private,n_data_pts_total,intermediate_metadata
0,yes,100%,CNSMIGRININTU,Internal migration (urban-to-urban) in last 5 years ,Internal migration (urban-to-urban) into the city (L1AD) or sub-city (L2) last 5 years defined as the proportion of the current population that lived in other SALURBAL areas of the same country 5 years ago.,Demographics,Migration,SEC_MIGRATION_v1.0,2255,0,2255,""
0,yes,100%,CNSMIGRINTOTAL,All migration (internal and external) in last 5 years.,All migration into the city (L1AD) or sub-city (L2) (internal and external) in last 5 years defined as the proportion of the current population that lived elsewhere 5 years ago. Internal refers to  migration from elsewhere in the country. External refer to migration from outside the country.,Demographics,Migration,SEC_MIGRATION_v1.0,2255,0,2255,""
0,yes,100%,CNSMIGROUTINT,Out migration within the same country (urban-to-urban and rural) in last 5 years ,"Out migration within the same country (urban-to-urban and rural) in last 5 years defined as the proportion of the current population that moved out of the city (L1AD) or sub-city (L2) to other parts of the country (whether urban or rural) in the past 5 years. Note that this is technically not a proportion, as the numerator (people moving out) are not included in the denominator (current population). ",Demographics,Migration,SEC_MIGRATION_v1.0,2255,0,2255,""
0,yes,100%,CNSMIGROUTINTR,Out migration within the same country (urban-to-rural) in last 5 years ,"Out migration within the same country (urban-to-rural) in last 5 years defined as the proportion of the current population that moved out of the city (L1AD) or sub-city (L2) to non-SALURBAL areas within the country in the past 5 years. Note that this is technically not a proportion, as the numerator (people moving out) are not included in the denominator (current population).",Demographics,Migration,SEC_MIGRATION_v1.0,2255,0,2255,""
0,yes,100%,CNSMIGROUTINTU,Out migration within the same country (urban-to-urban) in last 5 years,"Out migration within the same country (urban-to-urban) in last 5 years defined as the proportion of the current population that moved out of the city (L1AD) or sub-city (L2) to other SALURBAL areas within the country in the past 5 years. Note that this is technically not a proportion, as the numerator (people moving out) are not included in the denominator (current population).",Demographics,Migration,SEC_MIGRATION_v1.0,2255,0,2255,""
1,yes,100%,CNSMINHS,Completed secondary education,"Percentage of the population aged 25 or older who completed secondary education or above. In general, completed secondary is considered to be attained at 12 years of education.","Social, Economic, and Services Environment",Education,SEC_Census_v1.0,180438,0,180438,""
1,yes,100%,CNSMINPR,Completed primary education,"Percentage of the population aged 25 or older who completed primary education or above. In general, completed primary is considered to be attained at 6 years of education. ","Social, Economic, and Services Environment",Education,SEC_Census_v1.0,275679,0,275679,""
1,yes,100%,CNSMINUN,Completed university education,"Percentage of the population aged 25 or older who completed university education or above. In general, completed university is considered to be attained at 4 years of university education or above. ","Social, Economic, and Services Environment",Education,SEC_Census_v1.0,169512,0,169512,""
1,yes,100%,CNSNFM,Proportion of women formally/non-formally married among all women ages 15 to 17,Proportion of women 15 to 17 formally or non-formally married among all women ages 15 to 17,"Social, Economic, and Services Environment",Gender Equity,SEC_marriage_v1.0,1074,0,1074,""
1,yes,100%,CNSNFMARBF18,Proportion of women formally/ non-formally married among all married women,Proportion of women 15 to 17 formally or non-formally married among all married women,"Social, Economic, and Services Environment",Gender Equity,SEC_marriage_v1.0,1074,0,1074,""
0,yes,100%,CNSPOP,Census population,Population count.,"Social, Economic, and Services Environment",Population,SEC_Census_v1.0,139065,0,139065,""
1,yes,93%,CNSSE1,Living conditions score,"Captures factors related to poverty and general living conditions. This score includes three variables: (1) the percentage of household with piped water inside the dwelling as a marker of living conditions; (2) the percentage of households with overcrowding (defined as more than 3 people per room, excluding kitchen and bathroom); and (3) the percentage of population aged 15-17 attending school. The latter variable is included because low school attendance among adolescents has been linked to poverty and early participation in the labor market, as well as exclusion from productive systems.  The score was created by summing the Z-scores for each component variable. Z-scores were created based on the distributions of all cities (L1AD) or all sub-cities (L2). For the construction of the score, we reverse coded the overcrowding indicator so higher score values signify better living conditions and lower poverty levels. ","Social, Economic, and Services Environment",Education;Housing and Infrastructure;Income/Poverty,SEC_INDEXSCORES_v1.0,3562,248,3810,""
